"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BOOTSEL1,RUN1";"BUTT4";2;"BUTT-4";;;
2;"MX20";"MX-GLP2-HotSwap";1;"SwG";;;
3;"MX21";"MX-GLP2-HotSwap";1;"SwB";;;
4;"MX50";"MX-GLP2-HotSwap";1;"Sw5";;;
5;"MX16";"MX-GLP2-HotSwap";1;"SwF";;;
6;"J36";"PJ-3200B-4A";1;"PJ-3200B";;;
7;"MX49";"MX-GLP2-HotSwap";1;"Sw4";;;
8;"MX19";"MX-GLP2-HotSwap";1;"SwT";;;
9;"MX17";"MX-GLP2-HotSwap";1;"SwV";;;
10;"MX15";"MX-GLP2-HotSwap";1;"SwR";;;
11;"MX14";"MX-GLP2-HotSwap";1;"SwLALT";;;
12;"MX10";"MX-GLP2-HotSwap";1;"SwLWIN";;;
13;"U1";"SOT229P700X180-4N";1;"AMS1117-3.3_SOT223";;;
14;"C11";"C_1210_3225Metric";1;"100uF";;;
15;"IC1";"RP2040-QFN-56";1;"RP2040";;;
16;"R4";"R_0402_1005Metric";1;"5.1K";;;
17;"J50,J39,J45,J16";"PinHeader_1x04_P2.54mm_Vertical";4;"Raiser_Male";;;
18;"C17,C16,C7,C15,C10,C2,C6,C14,C13";"C_0402_1005Metric";9;"0.1uF";;;
19;"R1,R2";"R_0402_1005Metric";2;"27.4";;;
20;"R8,R9";"R_0402_1005Metric";2;"5.1k";;;
21;"R7";"R_0402_1005Metric";1;"10K";;;
22;"R3";"R_0402_1005Metric";1;"10k";;;
23;"J3";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
24;"C5,C4";"C_0402_1005Metric";2;"27pF";;;
25;"R6";"R_0402_1005Metric";1;"1k";;;
26;"J32";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0";;;
27;"C12,C3";"C_0402_1005Metric";2;"1uF";;;
28;"C9";"C_0402_1005Metric";1;"10uF";;;
29;"J13,J9,J17";"PinSocket_1x04_P2.54mm_Vertical";3;"Raiser_Female";;;
30;"Y1";"HC%2f49US-(AT49)_1";1;"ABLS-12.000MHZ-B4-T";;;
31;"J2,J1,J7,J8";"PinHeader_1x04_P2.54mm_Vertical";4;"Conn_01x04_Male";;;
32;"IC2";"SOIC127P790X216-8N";1;"W25Q128JVSIM";;;
33;"F1";"Fuse_1206_3216Metric";1;"Polyfuse";;;
34;"G***";"Crowfeet75";1;"LOGO";;;
