Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,0.1uF,C_0402_1005Metric,114.325,-467.71,270,bottom
C3,1uF,C_0402_1005Metric,106.415,-462.55,180,bottom
C4,27pF,C_0402_1005Metric,119.985,-458.8,0,bottom
C5,27pF,C_0402_1005Metric,119.985,-459.825,0,bottom
C6,0.1uF,C_0402_1005Metric,108.65,-456.315,90,bottom
C7,0.1uF,C_0402_1005Metric,106.445,-466.07,180,bottom
C9,10uF,C_0402_1005Metric,113.525,-420.73,0,bottom
C10,0.1uF,C_0402_1005Metric,98.54,-463.86,180,bottom
C11,100uF,C_1210_3225Metric,112.42,-434.21,90,bottom
C12,1uF,C_0402_1005Metric,106.45,-465.05,180,bottom
C13,0.1uF,C_0402_1005Metric,119.185,-463.775,0,bottom
C14,0.1uF,C_0402_1005Metric,106.415,-461.55,180,bottom
C15,0.1uF,C_0402_1005Metric,119.2,-462.25,0,bottom
C16,0.1uF,C_0402_1005Metric,114.425,-455.4,90,bottom
C17,0.1uF,C_0402_1005Metric,109.4,-468.135,270,bottom
F1,Polyfuse,Fuse_1206_3216Metric,112.25,-380.95,90,bottom
IC1,RP2040,QFN40P700X700X90-57N-D,112.8,-462.05,270,bottom
IC2,W25Q128JVSIM,SOIC127P790X216-8N,100.95,-458.41,270,bottom
J32,USB_C_Receptacle_USB2.0,USB_C_Receptacle_Palconn_UTC16-G,111.98,-372.165,0,bottom
R1,27.4,R_0402_1005Metric,108.376,-448.577,90,bottom
R2,27.4,R_0402_1005Metric,109.426,-448.577,90,bottom
R3,10k,R_0402_1005Metric,97.3,-455.265,90,bottom
R4,5.1K,R_0402_1005Metric,116.91,-469.375,0,bottom
R6,1k,R_0402_1005Metric,119.2,-461.25,0,bottom
R7,10K,R_0402_1005Metric,106.425,-467.09,0,bottom
R8,5.1k,R_0402_1005Metric,118.61,-371.475,0,bottom
R9,5.1k,R_0402_1005Metric,118.61,-372.475,180,bottom
R17,5.1K,R_0402_1005Metric,119,-467.4,180,bottom
U1,AMS1117-3.3_SOT223,SOT229P700X180-4N,116.075,-426.5,0,bottom
Y1,ABLS-12.000MHZ-B4-T,HC%2f49US-(AT49)_1,124.35,-462.175,90,bottom
