"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BOOTSEL2,RUN2";"BUTT4";2;"BUTT-4";;;
2;"U2";"SOT229P700X180-4N";1;"AMS1117-3.3_SOT223";;;
3;"MX51";"MX-1U-NoLED_HotSwap";1;"Sw6";;;
4;"J52,J43,J41,J12";"PinHeader_1x04_P2.54mm_Vertical";4;"Raiser_Male";;;
5;"MX28";"MX-1U-NoLED_HotSwap";1;"SwJ";;;
6;"C18";"C_1210_3225Metric";1;"100uF";;;
7;"J37";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0";;;
8;"MX52";"MX-1U-NoLED_HotSwap";1;"Sw7";;;
9;"MX38";"MX-1U-NoLED_HotSwap";1;"SwMENU";;;
10;"MX34";"MX-1U-NoLED_HotSwap";1;"SwRALT";;;
11;"MX29";"MX-1U-NoLED_HotSwap";1;"SwM";;;
12;"MX27";"MX-1U-NoLED_HotSwap";1;"SwU";;;
13;"MX25";"MX-1U-NoLED_HotSwap";1;"SwN";;;
14;"MX24";"MX-1U-NoLED_HotSwap";1;"SwH";;;
15;"MX23";"MX-1U-NoLED_HotSwap";1;"SwY";;;
16;"R12";"R_0402_1005Metric";1;"10k";;;
17;"C32,C28,C26,C31,C29,C27,C25,C23,C19";"C_0402_1005Metric";9;"0.1uF";;;
18;"R11,R10";"R_0402_1005Metric";2;"5.1k";;;
19;"R16";"R_0402_1005Metric";1;"1k";;;
20;"R15,R14";"R_0402_1005Metric";2;"27.4";;;
21;"R5";"R_0402_1005Metric";1;"5.1K";;;
22;"R13";"R_0402_1005Metric";1;"10K";;;
23;"F2";"Fuse_1206_3216Metric";1;"Polyfuse";;;
24;"C24,C20";"C_0402_1005Metric";2;"1uF";;;
25;"C8";"C_0402_1005Metric";1;"10uF";;;
26;"C22,C21";"C_0402_1005Metric";2;"27pF";;;
27;"J5";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
28;"J27,J24,J26,J25";"PinHeader_1x04_P2.54mm_Vertical";4;"Conn_01x04_Male";;;
29;"J47,J34,J19";"PinSocket_1x04_P2.54mm_Vertical";3;"Raiser_Female";;;
30;"J46";"STX35013N";1;"STX-3501-3N";;;
31;"IC3";"QFN40P700X700X90-57N-D";1;"RP2040";;;
32;"IC4";"SOIC127P790X216-8N";1;"W25Q128JVSIM";;;
33;"Y2";"HC%2f49US-(AT49)_1";1;"ABLS-12.000MHZ-B4-T";;;
34;"G***";"Crowfeet75";1;"LOGO";;;
