"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MX24";"MX-GLP2-HotSwap";1;"SwH";;;
2;"MX25";"MX-GLP2-HotSwap";1;"SwN";;;
3;"RUN2,BOOTSEL2";"BUTT4";2;"BUTT-4";;;
4;"J46";"PJ-3200B-4A";1;"PJ-3200B";;;
5;"MX29";"MX-GLP2-HotSwap";1;"SwM";;;
6;"MX52";"MX-GLP2-HotSwap";1;"Sw7";;;
7;"MX51";"MX-GLP2-HotSwap";1;"Sw6";;;
8;"MX38";"MX-GLP2-HotSwap";1;"SwMENU";;;
9;"MX34";"MX-GLP2-HotSwap";1;"SwRALT";;;
10;"MX28";"MX-GLP2-HotSwap";1;"SwJ";;;
11;"MX23";"MX-GLP2-HotSwap";1;"SwY";;;
12;"MX27";"MX-GLP2-HotSwap";1;"SwU";;;
13;"IC3";"RP2040-QFN-56";1;"RP2040";;;
14;"J37";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0";;;
15;"U2";"SOT229P700X180-4N";1;"AMS1117-3.3_SOT223";;;
16;"J52,J43,J41,J12";"PinHeader_1x04_P2.54mm_Vertical";4;"Raiser_Male";;;
17;"R5";"R_0402_1005Metric";1;"5.1K";;;
18;"C18";"C_1210_3225Metric";1;"100uF";;;
19;"C25,C31,C29,C28,C27,C26,C23,C19,C32";"C_0402_1005Metric";9;"0.1uF";;;
20;"C8";"C_0402_1005Metric";1;"10uF";;;
21;"R15,R14";"R_0402_1005Metric";2;"27.4";;;
22;"R13";"R_0402_1005Metric";1;"10K";;;
23;"R10,R11";"R_0402_1005Metric";2;"5.1k";;;
24;"C22,C21";"C_0402_1005Metric";2;"27pF";;;
25;"R12";"R_0402_1005Metric";1;"10k";;;
26;"R16";"R_0402_1005Metric";1;"1k";;;
27;"C20,C24";"C_0402_1005Metric";2;"1uF";;;
28;"F2";"Fuse_1206_3216Metric";1;"Polyfuse";;;
29;"J5";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
30;"J47,J34,J19";"PinSocket_1x04_P2.54mm_Vertical";3;"Raiser_Female";;;
31;"J25,J27,J24,J26";"PinHeader_1x04_P2.54mm_Vertical";4;"Conn_01x04_Male";;;
32;"Y2";"HC%2f49US-(AT49)_1";1;"ABLS-12.000MHZ-B4-T";;;
33;"IC4";"SOIC127P790X216-8N";1;"W25Q128JVSIM";;;
34;"G***";"Crowfeet75";1;"LOGO";;;
