Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
"C8","10uF","C_0402_1005Metric",167.900000,-443.600000,0.000000,bottom
"C18","100uF","C_1210_3225Metric",167.500000,-446.500000,90.000000,bottom
"C19","0.1uF","C_0402_1005Metric",158.835000,-466.410000,0.000000,bottom
"C20","1uF","C_0402_1005Metric",166.640000,-460.050000,180.000000,bottom
"C21","27pF","C_0402_1005Metric",181.645000,-455.520000,0.000000,bottom
"C22","27pF","C_0402_1005Metric",181.645000,-456.570000,0.000000,bottom
"C23","0.1uF","C_0402_1005Metric",171.000000,-464.335000,270.000000,bottom
"C24","1uF","C_0402_1005Metric",166.635000,-457.040000,180.000000,bottom
"C25","0.1uF","C_0402_1005Metric",166.635000,-458.050000,180.000000,bottom
"C26","0.1uF","C_0402_1005Metric",166.635000,-459.050000,180.000000,bottom
"C27","0.1uF","C_0402_1005Metric",169.700000,-453.215000,90.000000,bottom
"C28","0.1uF","C_0402_1005Metric",181.655000,-459.620000,0.000000,bottom
"C29","0.1uF","C_0402_1005Metric",181.655000,-458.595000,0.000000,bottom
"C31","0.1uF","C_0402_1005Metric",176.488000,-464.315000,270.000000,bottom
"C32","0.1uF","C_0402_1005Metric",175.675000,-450.510000,90.000000,bottom
"F2","Polyfuse","Fuse_1206_3216Metric",168.200000,-387.400000,0.000000,bottom
"IC3","RP2040","RP2040-QFN-56",174.400000,-457.000000,270.000000,bottom
"IC4","W25Q128JVSIM","SOIC127P790X216-8N",160.260000,-459.770000,270.000000,bottom
"J37","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",172.420000,-367.840000,0.000000,bottom
"R5","5.1K","R_0402_1005Metric",166.815000,-453.700000,180.000000,bottom
"R10","5.1k","R_0402_1005Metric",178.685000,-373.700000,0.000000,bottom
"R11","5.1k","R_0402_1005Metric",178.685000,-372.670000,180.000000,bottom
"R12","10k","R_0402_1005Metric",191.110000,-463.000000,270.000000,bottom
"R13","10K","R_0402_1005Metric",160.630000,-468.210000,0.000000,bottom
"R14","27.4","R_0402_1005Metric",169.125000,-450.710000,90.000000,bottom
"R15","27.4","R_0402_1005Metric",168.075000,-450.700000,90.000000,bottom
"R16","1k","R_0402_1005Metric",181.655000,-457.570000,0.000000,bottom
"U2","AMS1117-3.3_SOT223","SOT229P700X180-4N",161.200000,-446.100000,180.000000,bottom
"Y2","ABLS-12.000MHZ-B4-T","HC%2f49US-(AT49)_1",186.300000,-455.525000,90.000000,bottom
